asset,owner,decision,target,risk,status,rationale
core_modules/agent.py,platform,archive,docs/archive/legacy-v2,high,pending,Legacy module overlaps v3 architecture; avoid direct runtime merge.
core_modules/aggressive_research.py,platform,archive,docs/archive/legacy-v2,high,pending,Legacy module overlaps v3 architecture; avoid direct runtime merge.
core_modules/api_rate_limiter.py,platform,port_pattern,src/ira/services or src/ira/systems,medium,pending,High-value reliability/data-quality pattern from v2 archive.
core_modules/brain_trainer.py,platform,archive,docs/archive/legacy-v2,high,pending,Legacy module overlaps v3 architecture; avoid direct runtime merge.
core_modules/company_config.py,platform,port_pattern,src/ira/services or src/ira/systems,medium,pending,High-value reliability/data-quality pattern from v2 archive.
core_modules/consolidation_scheduler.py,platform,archive,docs/archive/legacy-v2,high,pending,Legacy module overlaps v3 architecture; avoid direct runtime merge.
core_modules/customer_enricher.py,platform,archive,docs/archive/legacy-v2,high,pending,Legacy module overlaps v3 architecture; avoid direct runtime merge.
core_modules/daily_rhythm.py,platform,archive,docs/archive/legacy-v2,high,pending,Legacy module overlaps v3 architecture; avoid direct runtime merge.
core_modules/deep_dive.py,platform,archive,docs/archive/legacy-v2,high,pending,Legacy module overlaps v3 architecture; avoid direct runtime merge.
core_modules/email_reindex.py,platform,port_pattern,src/ira/services or src/ira/systems,medium,pending,High-value reliability/data-quality pattern from v2 archive.
core_modules/euro_scraper.py,platform,archive,docs/archive/legacy-v2,high,pending,Legacy module overlaps v3 architecture; avoid direct runtime merge.
core_modules/final_pass.py,platform,archive,docs/archive/legacy-v2,high,pending,Legacy module overlaps v3 architecture; avoid direct runtime merge.
core_modules/fusion.py,platform,archive,docs/archive/legacy-v2,high,pending,Legacy module overlaps v3 architecture; avoid direct runtime merge.
core_modules/health_server.py,platform,archive,docs/archive/legacy-v2,high,pending,Legacy module overlaps v3 architecture; avoid direct runtime merge.
core_modules/heartbeat_ingest.py,platform,archive,docs/archive/legacy-v2,high,pending,Legacy module overlaps v3 architecture; avoid direct runtime merge.
core_modules/ingest_bathroom_ksa.py,platform,archive,docs/archive/legacy-v2,high,pending,Legacy module overlaps v3 architecture; avoid direct runtime merge.
core_modules/ingest_pf1_specs.py,platform,archive,docs/archive/legacy-v2,high,pending,Legacy module overlaps v3 architecture; avoid direct runtime merge.
core_modules/keyword_extract.py,platform,archive,docs/archive/legacy-v2,high,pending,Legacy module overlaps v3 architecture; avoid direct runtime merge.
core_modules/ki_sensing.py,platform,archive,docs/archive/legacy-v2,high,pending,Legacy module overlaps v3 architecture; avoid direct runtime merge.
core_modules/knowledge_blaster.py,platform,archive,docs/archive/legacy-v2,high,pending,Legacy module overlaps v3 architecture; avoid direct runtime merge.
core_modules/knowledge_hygiene.py,platform,port_pattern,src/ira/services or src/ira/systems,medium,pending,High-value reliability/data-quality pattern from v2 archive.
core_modules/migrate_to_graph.py,platform,archive,docs/archive/legacy-v2,high,pending,Legacy module overlaps v3 architecture; avoid direct runtime merge.
core_modules/personality.py,platform,archive,docs/archive/legacy-v2,high,pending,Legacy module overlaps v3 architecture; avoid direct runtime merge.
core_modules/quality_improvement.py,platform,archive,docs/archive/legacy-v2,high,pending,Legacy module overlaps v3 architecture; avoid direct runtime merge.
core_modules/reasoning_engine_v2.py,platform,archive,docs/archive/legacy-v2,high,pending,Legacy module overlaps v3 architecture; avoid direct runtime merge.
core_modules/reindex_docs.py,platform,port_pattern,src/ira/services or src/ira/systems,medium,pending,High-value reliability/data-quality pattern from v2 archive.
core_modules/reindex_emails.py,platform,archive,docs/archive/legacy-v2,high,pending,Legacy module overlaps v3 architecture; avoid direct runtime merge.
core_modules/response_types.py,platform,archive,docs/archive/legacy-v2,high,pending,Legacy module overlaps v3 architecture; avoid direct runtime merge.
core_modules/service_health.py,platform,archive,docs/archive/legacy-v2,high,pending,Legacy module overlaps v3 architecture; avoid direct runtime merge.
core_modules/structured_logger.py,platform,port_pattern,src/ira/services or src/ira/systems,medium,pending,High-value reliability/data-quality pattern from v2 archive.
core_modules/targeted_research.py,platform,archive,docs/archive/legacy-v2,high,pending,Legacy module overlaps v3 architecture; avoid direct runtime merge.
core_modules/zenkai_boost.py,platform,archive,docs/archive/legacy-v2,high,pending,Legacy module overlaps v3 architecture; avoid direct runtime merge.
data/arachne/calendar.json,data_governance,review,data lifecycle policy,medium,pending,Data asset requires classification before runtime use.
data/arachne/content_performance.json,data_governance,review,data lifecycle policy,medium,pending,Data asset requires classification before runtime use.
data/arachne/newsletter_archive/newsletter_2026-03-04.html,data_governance,move_external,object_storage + metadata index,high,pending,Binary or generated artifacts should not be stored in runtime git tree.
data/arachne/newsletter_template.html,data_governance,review,data lifecycle policy,medium,pending,Data asset requires classification before runtime use.
data/arachne/subscribers.json,data_governance,review,data lifecycle policy,medium,pending,Data asset requires classification before runtime use.
data/cadmus/case_study_backlog.json,data_governance,review,data lifecycle policy,medium,pending,Data asset requires classification before runtime use.
data/cadmus/linkedin_connections.json,data_governance,review,data lifecycle policy,medium,pending,Data asset requires classification before runtime use.
data/cadmus/linkedin_connections_summary.json,data_governance,review,data lifecycle policy,medium,pending,Data asset requires classification before runtime use.
data/cadmus/linkedin_drafts/20260304_1537_alp-group-bedliner-mahindra-scorpio.md,data_governance,review,data lifecycle policy,medium,pending,Data asset requires classification before runtime use.
data/cadmus/linkedin_drafts/20260304_1538_pf1-x-1210-compact-all-servo-vacuum-form.md,data_governance,review,data lifecycle policy,medium,pending,Data asset requires classification before runtime use.
data/cadmus/linkedin_drafts/20260304_1542_alp-group-bedliner-mahindra-scorpio.md,data_governance,review,data lifecycle policy,medium,pending,Data asset requires classification before runtime use.
data/cadmus/linkedin_drafts/20260304_1557_alp-group-bedliner-mahindra-scorpio.md,data_governance,review,data lifecycle policy,medium,pending,Data asset requires classification before runtime use.
data/cadmus/linkedin_drafts/20260304_1612_alp-group-bedliner-mahindra-scorpio.md,data_governance,review,data lifecycle policy,medium,pending,Data asset requires classification before runtime use.
data/cadmus/linkedin_drafts/20260304_1613_alp-group-bedliner-mahindra-scorpio.md,data_governance,review,data lifecycle policy,medium,pending,Data asset requires classification before runtime use.
data/cadmus/linkedin_drafts/20260304_1626_alp-group-bedliner-mahindra-scorpio.md,data_governance,review,data lifecycle policy,medium,pending,Data asset requires classification before runtime use.
data/cadmus/linkedin_drafts/20260305_0211_dutch-tides-hydroponic-ebb-flow-trays.md,data_governance,review,data lifecycle policy,medium,pending,Data asset requires classification before runtime use.
data/cadmus/manus_cost_log.jsonl,data_governance,review,data lifecycle policy,medium,pending,Data asset requires classification before runtime use.
data/cadmus/manus_outputs/machinecraft_linkedin_hero_final.png,data_governance,move_external,object_storage + metadata index,high,pending,Binary or generated artifacts should not be stored in runtime git tree.
data/cadmus/manus_outputs/machinecraft_slide_1.png,data_governance,move_external,object_storage + metadata index,high,pending,Binary or generated artifacts should not be stored in runtime git tree.
data/cadmus/manus_outputs/machinecraft_slide_2.png,data_governance,move_external,object_storage + metadata index,high,pending,Binary or generated artifacts should not be stored in runtime git tree.
data/cadmus/manus_outputs/machinecraft_slide_3.png,data_governance,move_external,object_storage + metadata index,high,pending,Binary or generated artifacts should not be stored in runtime git tree.
data/cadmus/manus_outputs/machinecraft_slide_4.png,data_governance,move_external,object_storage + metadata index,high,pending,Binary or generated artifacts should not be stored in runtime git tree.
data/cadmus/manus_outputs/machinecraft_slide_5.png,data_governance,move_external,object_storage + metadata index,high,pending,Binary or generated artifacts should not be stored in runtime git tree.
data/cadmus/manus_prompt_ira_pitch_deck.md,data_governance,review,data lifecycle policy,medium,pending,Data asset requires classification before runtime use.
data/cadmus/posted_topics.json,data_governance,review,data lifecycle policy,medium,pending,Data asset requires classification before runtime use.
data/case_studies/alp-group-bedliner-mahindra-scorpio/case_study.json,data_governance,review,data lifecycle policy,medium,pending,Data asset requires classification before runtime use.
data/case_studies/alp-group-bedliner-mahindra-scorpio/case_study_full.md,data_governance,review,data lifecycle policy,medium,pending,Data asset requires classification before runtime use.
data/case_studies/alp_bedliner/attachments/18047bbc_NR042022-_Scorpio_Bed_Liner_Vac_Form_Tool.docx,data_governance,move_external,object_storage + metadata index,high,pending,Binary or generated artifacts should not be stored in runtime git tree.
data/case_studies/alp_bedliner/attachments/186b58b9_GT600-2900-roller_drawing.pdf,data_governance,move_external,object_storage + metadata index,high,pending,Binary or generated artifacts should not be stored in runtime git tree.
data/case_studies/alp_bedliner/attachments/18e862ae_InnoPoly_Invoice_Mar_2023.pdf,data_governance,move_external,object_storage + metadata index,high,pending,Binary or generated artifacts should not be stored in runtime git tree.
data/case_studies/alp_bedliner/attachments/190977bd_MOM_Machinecraft_visit_at_ALP_01.04.2024.xlsx,data_governance,move_external,object_storage + metadata index,high,pending,Binary or generated artifacts should not be stored in runtime git tree.
data/case_studies/alp_bedliner/attachments/190ab6fd_WhatsApp_Image_2024-07-13_at_2.46.44_PM.jpeg,data_governance,move_external,object_storage + metadata index,high,pending,Binary or generated artifacts should not be stored in runtime git tree.
data/case_studies/alp_bedliner/attachments/190ab6fd_WhatsApp_Image_2024-07-13_at_2.46.45_PM__1_.jpeg,data_governance,move_external,object_storage + metadata index,high,pending,Binary or generated artifacts should not be stored in runtime git tree.
data/case_studies/alp_bedliner/attachments/190ab6fd_WhatsApp_Image_2024-07-13_at_2.46.46_PM.jpeg,data_governance,move_external,object_storage + metadata index,high,pending,Binary or generated artifacts should not be stored in runtime git tree.
data/case_studies/alp_bedliner/attachments/190ab6fd_WhatsApp_Image_2024-07-13_at_2.46.47_PM.jpeg,data_governance,move_external,object_storage + metadata index,high,pending,Binary or generated artifacts should not be stored in runtime git tree.
